catagory,action-link-href,name,company,rate,privacy-policy-link-href
Smart home,https://assistant.google.com/services/a/uid/000000facdd3f72a,Linear Garage,GTO Access Systems LLC,3,http://linearproaccess.com/terms-of-use/
Local,https://assistant.google.com/services/a/uid/000000d79292a9a8,Directory of electricians,julien MAHDAVI,4.5,http://mahdavi.fr/priv.php?P=projet72-2dbe7&L=en
Shopping,https://assistant.google.com/services/a/uid/0000007783b77c0a,My Happy Friends,,4.3,http://makin.io/privacy.html
Travel & transportation,https://assistant.google.com/services/a/uid/00000002f400d90a,Temple Guide,Katriot Technologies Pvt Ltd,4.2,http://mandirguide.com/privacy-policy/
Music & audio,https://assistant.google.com/services/a/uid/00000048cd35de27,Radio Sai,Radio Sai Global Harmony,4,http://media.radiosai.org/journals/Portal/privacy-policy.htm
Smart home,https://assistant.google.com/services/a/uid/000000899d112fe5,Modern Forms,Modern Forms,3.4,http://modernforms.com/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/0000006e846eeea8,Ness Mezzo,Ness Corporation Pty Ltd,0,http://nesscorporation.com/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000667cc44888,Netro Sprite,Netro Inc,4.4,http://netrohome.com/privacy-policy.html
Shopping,https://assistant.google.com/services/a/uid/000000c3ea9aee8d,Sunrise Fresh,Fahm Technologies Pvt Ltd,0,http://nisharlakhani.com/chatbots/privacypolicy.html
Smart home,https://assistant.google.com/services/a/uid/0000008f431f1b49,Nous Watchman,NousLogic Inc,4.5,http://nouslogic.com/content/7-privacy-policy
Smart home,https://assistant.google.com/services/a/uid/000000d01f0c8077,Eco Watering,"Nxeco, Inc.",4.5,http://nxeco.com/sales-terms.html
Travel & transportation,https://assistant.google.com/services/a/uid/00000014c27f7202,ofo,ofo,4.7,http://onecommon.ofo.com/helloworld/policy/index.html
Business & finance,https://assistant.google.com/services/a/uid/00000089371cf458,FINTEL Envoy,AI Envoy Robotics,4.7,http://orodataintelligence.azurewebsites.net/index.php/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/0000005684b6fd16,My Genie Switch,Pesco,0,http://pescoinfotech.com/aog/privacy_policy.html
Smart home,https://assistant.google.com/services/a/uid/00000061cf46d7cc,Petnet,,2.9,http://petnet.io/legal/privacy_policy
Productivity,https://assistant.google.com/services/a/uid/00000006a910e752,Plant Mindr,,5,http://plantmindr.com/privacy
Smart home,https://assistant.google.com/services/a/uid/000000b0d20d4d9c,Camera View,,3.5,http://policy.al8.co/CameraView/EN/privacy_policy.html
Smart home,https://assistant.google.com/services/a/uid/00000008590ba9cd,RainMachine,Green Electronics LLC,3.6,http://rainmachine.com/privacy/
Productivity,https://assistant.google.com/services/a/uid/00000031f23fb8a1,Repeating timers,,3.6,http://repetitions.capinha.net/privacy_policy.html
Health & fitness,https://assistant.google.com/services/a/uid/00000035545847de,Sana Live,Sana Live,0,http://sana.live/privacy-policy/
News & magazines,https://assistant.google.com/services/a/uid/000000296e8406fc,HMTV News,,3.7,http://sangam.ai/sangam_hmtv_private_policy.html
Business & finance,https://assistant.google.com/services/a/uid/000000570f3207ce,Schwab,Charles Schwab & Co.,5,http://schwab.com/privacy
